rank,group,album,release,format,sales,label,sublabel,gender
1,SEVENTEEN,FML,2023.04.24,10th Mini Album,6206299,HYBE,Pledis Entertainment,Boy
2,Stray Kids,★★★★★ (5-STAR),2023.06.02,3rd Full Album,5247354,JYP Entertainment,JYP Entertainment,Boy
3,BTS,MAP OF THE SOUL : 7,2020.02.21,4th Full Album,5045853,HYBE,Big Hit Entertainment,Boy
4,BTS,MAP OF THE SOUL : PERSONA,2019.04.12,6th Mini Album,4655904,HYBE,Big Hit Entertainment,Boy
5,SEVENTEEN,Face the Sun,2022.05.27,4th Full Album,3861405,HYBE,Pledis Entertainment,Boy
6,BTS,BE,2020.11.20,7th Mini Album,3813271,HYBE,Big Hit Entertainment,Boy
7,BTS,Proof,2022.06.10,Anthology Album,3520729,HYBE,Big Hit Entertainment,Boy
8,Stray Kids,MAXIDENT,2022.10.07,7th Mini Album,3444464,JYP Entertainment,JYP Entertainment,Boy
9,BTS,LOVE YOURSELF 結 'Answer',2018.08.24,Repackage Album,3390977,HYBE,Big Hit Entertainment,Boy
10,BTS,Butter,2021.07.09,Single Album,3203328,HYBE,Big Hit Entertainment,Boy
11,TXT,The Name Chapter: TEMPTATION,2023.01.27,5th Mini Album,3189676,HYBE,Big Hit Entertainment,Boy
12,BTS,LOVE YOURSELF 轉 'Tear',2018.05.18,3rd Full Album,3143985,HYBE,Big Hit Entertainment,Boy
13,BTS,LOVE YOURSELF 承 'Her',2017.09.18,5th Mini Album,3142000,HYBE,Big Hit Entertainment,Boy
14,SEVENTEEN,Attacca,2021.10.22,9th Mini Album,2637952,HYBE,Pledis Entertainment,Boy
15,NCT 127,Sticker,2021.09.17,3rd Full Album,2435099,SM Entertainment,SM Entertainment,Boy
16,NCT DREAM,Hot Sauce,2021.05.10,1st Full Album,2184864,SM Entertainment,SM Entertainment,Boy
17,NCT DREAM,Glitch Mode,2022.03.28,2nd Full Album,2103225,SM Entertainment,SM Entertainment,Boy
18,NCT DREAM,Candy,2022.12.19,Special Mini Album,1993285,SM Entertainment,SM Entertainment,Boy
19,NCT 127,2 Baddies,2022.09.16,4th Full Album,1988845,SM Entertainment,SM Entertainment,Boy
20,SEVENTEEN,SECTOR 17,2022.07.18,Repackage Album,1987068,HYBE,Pledis Entertainment,Boy
21,TXT,minisode 2: Thursday's Child,2022.05.09,4th Mini Album,1910588,HYBE,Big Hit Entertainment,Boy
22,Stray Kids,ODDINARY,2022.03.18,6th Mini Album,1878474,JYP Entertainment,JYP Entertainment,Boy
23,NCT,Universe,2021.12.14,3rd Full Album,1839677,SM Entertainment,SM Entertainment,Boy
24,SEVENTEEN,Heng:garæ,2020.06.22,7th Mini Album,1825747,HYBE,Pledis Entertainment,Boy
25,Stray Kids,NOEASY,2021.08.23,2nd Full Album,1704495,JYP Entertainment,JYP Entertainment,Boy
26,NCT,NCT RESONANCE Pt. 1,2020.10.12,2nd Full Album,1670800,SM Entertainment,SM Entertainment,Boy
27,ENHYPEN,DARK BLOOD,2020.11.30,4th Mini Album,1669194,HYBE,Belift Lab,Boy
28,SEVENTEEN,Your Choice,2021.06.18,8th Mini Album,1644641,HYBE,Pledis Entertainment,Boy
29,NCT,NCT RESONANCE Pt. 2,2020.11.23,2nd Full Album,1594515,SM Entertainment,SM Entertainment,Boy
30,ENHYPEN,MANIFESTO : DAY 1,2022.07.04,3rd Mini Album,1587036,HYBE,Belift Lab,Boy
31,BTS,WINGS,2016.10.10,2nd Full Album,1545444,HYBE,Big Hit Entertainment,Boy
32,SEVENTEEN,An Ode,2019.09.16,3rd Full Album,1526577,HYBE,Pledis Entertainment,Boy
33,NCT DREAM,Beatbox,2022.05.30,Repackage Album,1519301,SM Entertainment,SM Entertainment,Boy
34,ATEEZ,THE WORLD EP.2 : OUTLAW,2023.06.16,9th Mini Album,1499914,KQ Entertainment,KQ Entertainment,Boy
35,BTS,YOU NEVER WALK ALONE,2017.02.13,Special Album,1459613,HYBE,Big Hit Entertainment,Boy
36,EXO,DON'T MESS UP MY TEMPO,2018.11.02,5th Full Album,1454176,SM Entertainment,SM Entertainment,Boy
37,ENHYPEN,DIMENSION : DILEMMA,2021.10.12,1st Full Album,1391270,HYBE,Belift Lab,Boy
38,NCT DREAM,Hello Future,2021.06.28,Repackage Album,1383919,SM Entertainment,SM Entertainment,Boy
39,EXO,EXIST,2023.07.10,7th Full Album,1358440,SM Entertainment,SM Entertainment,Boy
40,EXO,DON'T FIGHT THE FEELING,2021.06.07,Special Album,1329023,SM Entertainment,SM Entertainment,Boy
41,SEVENTEEN,; [Semicolon],2020.10.19,Special Album,1262466,HYBE,Pledis Entertainment,Boy
42,TXT,The Chaos Chapter: FIGHT OR ESCAPE,2021.08.17,Repackage Album,1246981,HYBE,Big Hit Entertainment,Boy
43,NCT 127,Ay-Yo,2023.01.30,Repackage Album,1189921,SM Entertainment,SM Entertainment,Boy
44,NCT 127,Favorite,2021.10.25,Repackage Album,1165336,SM Entertainment,SM Entertainment,Boy
