rank,group,album,release,format,sales,label
1,BLACKPINK,BORN PINK,2022.09.16,2nd Full Album,2776371,YG Entertainment
2,aespa,MY WORLD,2023.05.08,3rd Mini Album,2109918,SM Entertainment
3,aespa,Girls,2022.07.08,2nd Mini Album,1856025,SM Entertainment
4,IVE,After LIKE,2022.08.22,3rd Single Album,1708469,Starship Entertainment
5,TWICE,READY TO BE,2023.03.10,12th Mini Album,1689349,JYP Entertainment
6,BLACKPINK,THE ALBUM,2020.10.02,1st Full Album,1611550,YG Entertainment
7,IVE,I've IVE,2023.04.10,1st Full Album,1584983,Starship Entertainment
8,NewJeans,OMG,2023.01.03,1st Single Album,1584651,ADOR
9,LE SSERAFIM,UNFORGIVEN,2023.05.01,1st Full Album,1517097,Source Music
10,NewJeans,New Jeans,2022.08.08,1st Mini Album,1417227,ADOR
11,(G)I-DLE,I feel,2023.05.15,6th Mini Album,1248030,Cube Entertainment
12,TWICE,BETWEEN 1&2,2022.08.26,11th Mini Album,1156792,JYP Entertainment
13,LE SSERAFIM,ANTIFRAGILE,2022.10.17,2nd Mini Album,1133776,Source Music
14,ITZY,CHESHIRE,2022.11.30,6th Mini Album,1056316,JYP Entertainment
15,ITZY,CHECKMATE,2022.07.15,5th Mini Album,1033752,JYP Entertainment
16,Red Velvet,'The ReVe Festival 2022 - Birthday',2022.11.28,8th Mini Album,992356,SM Entertainment
17,TWICE,Formula of Love: O+T=<3,2021.11.12,3rd Full Album,984367,JYP Entertainment
18,NMIXX,expérgo,2023.03.20,1st Mini Album,956319,JYP Entertainment
19,IVE,LOVE DIVE,2022.04.05,2nd Single Album,934095,Starship Entertainment
20,(G)I-DLE,I love,2022.10.17,5th Mini Album,863294,Cube Entertainment
21,NMIXX,A Midsummer NMIXX's Dream,2023.07.11,3rd Single Album,801036,JYP Entertainment
22,aespa,Savage,2021.10.05,1st Mini Album,788959,SM Entertainment
23,Red Velvet,'The ReVe Festival 2022 - Feel My Rhythm',2022.03.21,7th Mini Album,706543,SM Entertainment
24,TWICE,Taste of Love,2021.06.11,10th Mini Album,683784,JYP Entertainment
25,BLACKPINK,KILL THIS LOVE,2019.04.05,2nd Mini Album,680787,YG Entertainment
26,TWICE,MORE & MORE,2020.06.01,9th Mini Album,675605,JYP Entertainment
27,ITZY,CRAZY IN LOVE,2021.09.24,1st Full Album,644682,JYP Entertainment
28,TWICE,Eyes wide open,2020.10.26,2nd Full Album,642024,JYP Entertainment
29,TWICE,Feel Special,2019.09.23,8th Mini Album,577939,JYP Entertainment
30,NMIXX,ENTWURF,2022.09.19,2nd Single Album,569763,JYP Entertainment
31,IZ*ONE,Oneiric Diary,2020.06.15,3rd Mini Album,567467,Off The Record Entertainment
32,LE SSERAFIM,FEARLESS,2022.05.02,1st Mini Album,545529,Source Music
33,TWICE,TWICEcoaster : LANE 1,2016.10.24,3rd Mini Album,539669,JYP Entertainment
34,TWICE,FANCY YOU,2019.04.22,7th Mini Album,533973,JYP Entertainment
35,BLACKPINK,SQUARE UP,2018.06.15,1st Mini Album,517066,YG Entertainment
36,TWICE,What is Love?,2018.04.09,5th Mini Album,509177,JYP Entertainment
37,NMIXX,AD MARE,2022.02.22,1st Single Album,499414,JYP Entertainment
38,IVE,ELEVEN,2021.12.01,1st Single Album,496714,Starship Entertainment
39,IZ*ONE,BLOOM*IZ,2020.02.17,1st Full Album,493501,Off The Record Entertainment
40,TWICE,Summer Nights,2018.07.09,Special Album,481231,JYP Entertainment
41,TWICE,YES or YES,2018.11.05,6th Mini Album,478928,JYP Entertainment
42,Girls' Generation,The Boys,2011.10.19,3rd Full Album,466945,SM Entertainment
43,IZ*ONE,One-reeler / Act IV,2020.12.07,4th Mini Album,464860,Off The Record Entertainment
